Datum,Cena
2016-07-10,40.99
2016-06-02,79.99
2016-10-27,33.99
2016-08-28,48.99
2016-06-23,48.99
2016-10-02,33.99
2016-07-21,67.99
2016-10-06,33.99
2016-07-03,48.99
2016-07-14,48.99
2016-09-29,33.99
2016-06-26,57.99
2016-10-09,33.99
2016-08-14,94.99
2016-05-12,40.99
2016-09-01,48.99
2016-07-24,57.99
2016-06-19,57.99
2016-09-25,33.99
2016-06-05,57.99
2016-05-26,33.99
2016-08-25,48.99
2016-07-28,48.99
2016-08-11,67.99
2016-09-22,40.99
2016-09-04,40.99
2016-06-09,40.99
2016-09-18,33.99
2016-05-01,33.99
2016-09-11,40.99
2016-08-21,67.99
2016-10-20,40.99
2016-10-13,33.99
2016-08-07,94.99
2016-09-15,33.99
2016-08-18,57.99
2016-10-16,33.99
2016-04-28,48.99
2016-05-22,48.99
2016-07-17,57.99
2016-07-31,79.99
2016-10-23,33.99
2016-07-07,48.99
2016-05-08,40.99
2016-05-29,40.99
2016-05-05,40.99
2016-09-08,40.99
2016-08-04,79.99
2016-06-30,57.99
2016-06-12,67.99
2016-05-19,40.99
2016-06-16,48.99
2016-05-15,40.99
