Datum,Cena
2016-07-10,57.99
2016-06-02,40.99
2016-10-27,33.99
2016-08-28,79.99
2016-06-23,48.99
2016-10-02,33.99
2016-07-21,40.99
2016-10-06,33.99
2016-07-03,48.99
2016-07-14,48.99
2016-09-29,33.99
2016-06-26,48.99
2016-10-09,33.99
2016-08-14,79.99
2016-05-12,33.99
2016-09-01,57.99
2016-07-24,48.99
2016-06-19,48.99
2016-09-25,48.99
2016-06-05,79.99
2016-05-26,48.99
2016-08-25,67.99
2016-07-28,57.99
2016-08-11,57.99
2016-09-22,33.99
2016-09-04,57.99
2016-06-09,40.99
2016-09-18,48.99
2016-05-01,48.99
2016-09-11,48.99
2016-08-21,94.99
2016-10-20,33.99
2016-10-13,33.99
2016-08-07,67.99
2016-09-15,40.99
2016-08-18,94.99
2016-10-16,33.99
2016-04-28,14.99
2016-05-22,33.99
2016-07-17,40.99
2016-07-31,57.99
2016-10-23,40.99
2016-07-07,48.99
2016-05-08,40.99
2016-05-29,48.99
2016-05-05,40.99
2016-09-08,57.99
2016-08-04,57.99
2016-06-30,40.99
2016-06-12,48.99
2016-05-19,40.99
2016-06-16,57.99
2016-05-15,40.99
